Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,taster_name,taster_twitter_handle,title
127827,Italy,"This is a hearty and masculine Brunello that is redolent of espresso syrup, cherry liqueur, rum cake and moist pipe tobacco. The tannins show some grittiness in texture and the finish is capped by long-lasting freshness.",,89,57.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Piombaia Rossi-Cantini,,,Piombaia Rossi-Cantini 2008  Brunello di Montalcino
127828,Spain,"Spiced berry, dry oak and a note of latex define the nose on this ripe, likable, friendly Tempranillo. The wine is lively on the palate, with candied, jumpy flavors of berry fruits that finish with some foxiness and a wet-fur note. The emphasis here is on fresh fruit more than power or oakiness.",Vendimia Seleccionada,89,32.0,Northern Spain,Ribera del Duero,,Tempranillo,Resalte,Michael Schachner,@wineschach,Resalte 2011 Vendimia Seleccionada  (Ribera del Duero)
127829,US,"Lots of elegance in this Cabernet. It's dry, full bodied and rich in tannins, with a good depth of black currants and sweet, toasty oak. Won't age, but who cares: Pop the cork and drink it now.",,89,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,Robert Mondavi,,,Robert Mondavi 2010 Cabernet Sauvignon (Napa Valley)
127830,US,"An intriguing combination of almost equal parts Malbec, Mourvèdre and Petit Verdot, Rock Wall's Romancer hails from Clarksburg's small Heringer Vineyard, and is bright, fruity and juicy with blackberry and strawberry flavors. Aromatic lavender and jasmine notes against a backdrop of meaty tobacco make the presence of Mourvedre apparent.",Romancer-Heringer Vineyard,89,30.0,California,Clarksburg,Central Valley,Red Blend,Rock Wall,Virginie Boone,@vboone,Rock Wall 2011 Romancer-Heringer Vineyard Red (Clarksburg)
127831,US,"Green peppercorns give a hard edge to the blackberry, currant and anise flavors on this Cabernet. Despite firm tannins, the palate shows lots of finesse and has a rewardingly chewy mouthfeel. An interesting wine hinting at the promise of this appellation.",,89,44.0,California,Happy Canyon of Santa Barbara,Central Coast,Cabernet Sauvignon,Star Lane Vineyard,,,Star Lane Vineyard 2008 Cabernet Sauvignon (Happy Canyon of Santa Barbara)
127832,US,"Half of the fruit was sourced from the outstanding Lewis Vineyard, and the dense, dark, purple berry flavors are compelling. Highlights of black olive, smoke, and a bit of stem and earth add complexity. Give this one some breathing time, or cellar it for a few more years to soften the muscular tannins.",,89,40.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Va Piano,Paul Gregutt,@paulgwine ,Va Piano 2009 Syrah (Columbia Valley (WA))
127833,Italy,"This easy-drinking wine boasts sensations of tart green apple, ripe Bartlett pear and juicy pineapple. The succulent palate is supported by crisp acidity that gives it a clean, refreshing finish.",,87,11.0,Sicily & Sardinia,Sicilia,,Inzolia,Sallier de la Tour,Kerin O’Keefe,@kerinokeefe,Sallier de la Tour 2013 Inzolia (Sicilia)
127834,US,"Minty and bright, this is a well-distributed Pinot that's a fair value, soft and easy to drink. Amidst mellowed oak, expect dark cherry and buoyed acidity with a finish of darker, earthy tones.",,87,19.0,California,Sonoma Coast,Sonoma,Pinot Noir,Sebastiani,Virginie Boone,@vboone,Sebastiani 2012 Pinot Noir (Sonoma Coast)
127835,Turkey,"This blend of 34% Merlot, 26% Cabernet Sauvignon, 21% Syrah and 19% Cabernet Franc is dark violet-red in color. The nose offers a fruity and spicy mélange, like baked blueberry pie. Tannins slightly overpower flavors of blueberry, cherry, clove, anise and thyme.",Merlot-Cabernet Sauvignon-Syrah-Cabernet Franc,87,60.0,Aegean,,,Red Blend,Selendi,Mike DeSimone,@worldwineguys,Selendi 2011 Merlot-Cabernet Sauvignon-Syrah-Cabernet Franc Red (Aegean)
127836,US,This spicy wine offers peppery strawberry flavors and plenty of citrusy acids. It's still a little disjointed and could benefit from additional bottle age.,Solare,87,26.0,Washington,Columbia Valley (WA),Columbia Valley,Sangiovese,Sol Stone,Paul Gregutt,@paulgwine ,Sol Stone 2011 Solare Sangiovese (Columbia Valley (WA))
127837,US,"Nuanced in amped-up ripe pineapple, stone fruit and toasted honey, this is a balanced Chardonnay, well made from good fruit. It offers a taste of vanilla cream on the full-bodied finish.",Winemaker's Reserve,87,35.0,California,Russian River Valley,Sonoma,Chardonnay,Souverain,Virginie Boone,@vboone,Souverain 2011 Winemaker's Reserve Chardonnay (Russian River Valley)
127838,Italy,"This dense wine opens with blackberry, plum, toast, earth and leather aromas. The palate is overwhelmed by oak, showing espresso, toast, spearmint and vanilla while licorice and blackberry sensations remain in the background. It lacks the fruit richness to support the heavy oak influence, and astringent wood tannins dry out the mouth.",Ambruco,87,57.0,Southern Italy,Terre del Volturno,,Pallagrello Nero,Terre del Principe,Kerin O’Keefe,@kerinokeefe,Terre del Principe 2011 Ambruco Pallagrello Nero (Terre del Volturno)
127839,Greece,"Cinnamon, pepper and cedar lead on this elegant red. Flavors of toasted nut, smoke, and cocoa follow in a pert, clean wave. Pair with lamb, smoked meat or robust cheese.",,87,13.0,Naoussa,,,Xinomavro,Tsantali,Susan Kostrzewa,@suskostrzewa,Tsantali 2009 Xinomavro (Naoussa)
127840,Spain,"Firm cherry and berry aromas offer grit and a whiff of asphalt on the side. A grabby palate is driven by a slightly astringent acid-tannin package, while flavors of roasted berry fruits are round, dark and toasty. This is a touch edgy but tasty and good.",La Tercia Bodega,87,15.0,Central Spain,La Mancha,,Tempranillo,Yemanueva,Michael Schachner,@wineschach,Yemanueva 2011 La Tercia Bodega Tempranillo (La Mancha)
127841,Italy,"This round and easy-drinking wine, 95% Aglianico and 5% Sangiovese, is loaded with a juicy black-cherry flavor that's accented by hints of black pepper and mineral. It's soft, fresh and incredibly food friendly. Pair it with everything from hearty pasta dishes to barbecue.",Guaglione,87,16.0,Southern Italy,Irpinia,,Red Blend,I Capitani,Kerin O’Keefe,@kerinokeefe,I Capitani 2012 Guaglione Red (Irpinia)
127842,US,"Though labeled Syrah, this includes 25% Cabernet Sauvignon in the blend. The addition somewhat mutes the Syrah character, though it may bump up the concentration of cassis fruit flavor. Espresso-laden tannins put a frame around the finish.",,87,28.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Kaella,Paul Gregutt,@paulgwine ,Kaella 2011 Syrah (Columbia Valley (WA))
127843,US,"Like a liquid lemon meringue pie, this Chardonnay has bright fruit flavors, lemony acidity and a creamy finish. It smells like ripe apple and pineapple, and tastes crisp but but not lean. Altogether delicious and mouthwatering, and not nearly as sweet as the pie.",Side View,87,15.0,California,North Coast,North Coast,Chardonnay,Karma,Jim Gordon,@gordone_cellars,Karma NV Side View Chardonnay (North Coast)
127844,Greece,"Clove, menthol, herb and spice give this fresh and distinctive red blend an indigenous edge. Toast, pepper, cinnamon spice and red cherry flavors are appealing and ageable. The Cabernet and Merlot add dimension.",Dry,87,22.0,Vin de Pays de Velvendo,,,Red Blend,Ktima Voyatzi,Susan Kostrzewa,@suskostrzewa,Ktima Voyatzi 2010 Dry Red (Vin de Pays de Velvendo)
127845,France,"Thyme, bay and lavender aromas provide strong regional character to this wine, a blend of 70% Grenache, 20% Syrah and 10% Carignan. Mixed berries form the core of this supple wine, which should be consumed over the next couple of years.",,87,13.0,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,La Coterie,Joe Czerwinski,@JoeCz,La Coterie 2012 Red (Côtes du Rhône)
127846,France,"The wine has good acidity, crisp green and white fruits, and a bright citrus element. Fresh and fruity, it's ready to drink, with a light mineral texture already well integrated.",Climat Les Quarts,87,53.0,Burgundy,Pouilly-Vinzelles,,Chardonnay,La Soufrandière,Roger Voss,@vossroger,La Soufrandière 2012 Climat Les Quarts  (Pouilly-Vinzelles)
127847,US,"Intensely aromatic with notes of flowers and ripe tropical fruits, this is a lush, textured Gewurztraminer with massive power and brawn. Just off dry in style, it's surprisingly elegant for such a big-bodied wine, but with ample acidity. Nuances of tea leaves and potpourri linger on the finish.",,87,17.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Lakewood,Anna Lee C. Iijima,,Lakewood 2012 Gewurztraminer (Finger Lakes)
127848,France,"Smooth and fruity, it's full of citrus and ripe pear fruit. Structured and quite tangy, it has potential to improve through late 2014.",Clos de la Crochette,87,35.0,Burgundy,Mâcon-Chardonnay,,Chardonnay,Les Héritiers du Comte Lafon,Roger Voss,@vossroger,Les Héritiers du Comte Lafon 2012 Clos de la Crochette  (Mâcon-Chardonnay)
127849,US,"Complicated scents of bacon, wet leather, organ meats and damp dirt open this funky wine from Santa Barbara County pioneer Richard Longoria. On the palate, the forest floor and gaminess persist alongside heavy herbal notes, a unique muskiness and smooth but present tannins.",,87,36.0,California,Santa Ynez Valley,Central Coast,Tempranillo,Longoria,Matt Kettmann,@mattkettmann,Longoria 2011 Tempranillo (Santa Ynez Valley)
127850,France,"Toasty aromas go through to the palate, highlighting the wood aging. It is tense, mineral, packed with apple and lemon acidity. The aftertaste is equally crisp and bright.",Les Deux Moulins,87,23.0,Burgundy,Saint-Véran,,Chardonnay,Louis Latour,Roger Voss,@vossroger,Louis Latour 2012 Les Deux Moulins  (Saint-Véran)
127851,France,"Attractive red fruits and freshness combine to produce a lively, elegant wine with a light structure and complete fruitiness. Drink from 2017.",,87,,Burgundy,Marsannay,,Pinot Noir,Maison Champy,Roger Voss,@vossroger,Maison Champy 2011  Marsannay
127852,France,"Mango and peach aromas offer immediate attraction. With ripe fruits, light minerality and crisp acidity, it's almost ready to enjoy. Drink from the end of 2014.",Clos de la Maison,87,32.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Manoir du Capucin,Roger Voss,@vossroger,Manoir du Capucin 2012 Clos de la Maison  (Pouilly-Fuissé)
127853,Italy,"This blend of Aglianico and Piedirosso opens with mature plum and prune aromas as well as whiffs of hazelnut and chestnut. The robust, warm palate delivers ripe blackberry, stewed prune, licorice and espresso notes alongside aggressive tannins that will need years to tame.",Ariepetrina,87,45.0,Southern Italy,Falerno del Massico,,Red Blend,Masseria Felicia,Kerin O’Keefe,@kerinokeefe,Masseria Felicia 2009 Ariepetrina Red (Falerno del Massico)
127854,US,"There's a grippy quality to this Cab, which has flavors of bright red cranberry, licorice and soy, along with ample structure and a soft finish.",,87,20.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Mazzocco,Virginie Boone,@vboone,Mazzocco 2011 Cabernet Sauvignon (Dry Creek Valley)
127855,US,"This blend of Syrah (56%), Cabernet Sauvignon (22%), Cabernet Franc (12%) and Mourvèdre saw just a trace of new oak (10%). It delivers them all with notes of berry, coffee, raw meat, herbs and tar, with lighter-styled fruit flavors and tart acidity.",Bombing Range,87,16.0,Washington,Horse Heaven Hills,Columbia Valley,Red Blend,McKinley Springs,Sean P. Sullivan,@wawinereport,McKinley Springs 2010 Bombing Range Red (Horse Heaven Hills)
127856,US,"The smell of tart green apple frying in butter introduces this bottling from Dan Lee's historic winery. On the palate, lemon-lime spritzer and pear flow into a saline minerality in the midpalate, with acidic tartness emerging on the finish. This is a very tight and focused Chardonnay.",Highland,87,28.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Morgan,Matt Kettmann,@mattkettmann,Morgan 2012 Highland Chardonnay (Santa Lucia Highlands)
127857,US,"Tight, light and layered in freshly baked bread and firm cherry and cranberry, this is a soft, rounded Pinot from an inland Sonoma Coast site that's balanced, food-friendly and ready to enjoy now through 2016.",Parmalee-Hill Vineyard,87,45.0,California,Sonoma Coast,Sonoma,Pinot Noir,Armida,Virginie Boone,@vboone,Armida 2012 Parmalee-Hill Vineyard Pinot Noir (Sonoma Coast)
127858,US,"This Sémillon-Sauvignon Blanc blend hits the nose with near-petrol scents, and then slides into a slightly sour orange juice zone. On the palate, that citrusy intrigue continues into a lime zest finish. It's a vibrant, refreshing sipper, though it leans on tingling acidity more than overall balance. Serve with cacio e pepe pasta, raw oysters, or anything needing a lemony boost.",Happy Canyon Vineyards,87,36.0,California,Happy Canyon of Santa Barbara,Central Coast,Semillon-Sauvignon Blanc,Barrack,Matt Kettmann,@mattkettmann,Barrack 2012 Happy Canyon Vineyards Semillon-Sauvignon Blanc (Happy Canyon of Santa Barbara)
127859,Italy,"Here's a young Aglianico that opens with aromas of blue flower, earth, plum and spice. The simple but savory palate delivers ripe blackberry, raspberry and black licorice alongside firm tannins.",Terra di Vulcano,87,15.0,Southern Italy,Aglianico del Vulture,,Aglianico,Bisceglia,Kerin O’Keefe,@kerinokeefe,Bisceglia 2011 Terra di Vulcano  (Aglianico del Vulture)
127860,Spain,"Berry, mild prune, licorice, herb and rubbery aromas set up a wiry mouthfeel that's full of energy. Lemony oak rests on top of earthy berry fruit flavors and hard tannins, while oak and high acidity as well as plum and raspberry notes finish it off.",Selección Crianza,87,18.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Tobía,Michael Schachner,@wineschach,Bodegas Tobía 2009 Selección Crianza  (Rioja)
127861,Spain,"Lime and grapefruit aromas are tight and come with a touch of edgy harshness. The palate shows bright acidity and is clean as a whole. Mixed citrus flavors are straightforward, and so is the finish.",,87,12.0,Catalonia,Catalunya,,Xarel-lo,Bohigas,Michael Schachner,@wineschach,Bohigas 2013 Xarel-lo (Catalunya)
127862,Italy,"This wine opens with aromas of prune, plum, blackberry and graphite. The palate offers raw red cherry, raspberry and a light touch of mineral alongside fresh acidity and drying tannins.",Colle Rotondella,87,18.0,Southern Italy,Campi Flegrei,,Piedirosso,Cantine Astroni,Kerin O’Keefe,@kerinokeefe,Cantine Astroni 2012 Colle Rotondella Piedirosso (Campi Flegrei)
127863,US,"Crushed earth notes juxtapose ripe lime, tangerine and melon in this refreshing easy-drinking Sauvignon Blanc. Medium bodied with a crisp tonic mouthfeel and brisk acidity, it's an appealing apéritif and summer quaffer.",,87,22.0,New York,Long Island,Long Island,Sauvignon Blanc,Wölffer,Anna Lee C. Iijima,,Wölffer 2016 Sauvignon Blanc (Long Island)
127864,Greece,"This easygoing wine starts with fresh fruit aromas and offers ripe melon and tropical fruit flavors on the palate. The wine has an undercurrent of acidity but overall is a full bodied pour. A nice patio choice and great with cheeses, fish.",Turtles Vineyard,87,18.0,Florina,,,Malagousia,Alpha Estate,Susan Kostrzewa,@suskostrzewa,Alpha Estate 2016 Turtles Vineyard Malagousia (Florina)
127865,US,"Vanilla, toffee, wood spice and Band-Aid aromas are out in front of herb are red fruit. The palate is lighter in style, mixing equal part fruit and barrel, finishing tart.",Plenipotentiary Estate Grown,87,50.0,Washington,Red Mountain,Columbia Valley,Syrah,Ambassador Vineyard,Sean P. Sullivan,@wawinereport,Ambassador Vineyard 2014 Plenipotentiary Estate Grown Syrah (Red Mountain)
127866,US,"Subtle aromatics ride a steely frame of straightforward acidity and subtle oak, the wine medium in build and layers. It finishes in a flourish of salty brine.",,87,20.0,California,Russian River Valley,Sonoma,Chardonnay,Bravium,Virginie Boone,@vboone,Bravium 2015 Chardonnay (Russian River Valley)
127867,US,"This wine is a unique blend of Viognier (53%), Roussanne (35%) and Riesling. It's aromatic, with notes of flowers, green gummy bear and pear. It drinks dry with floral and grapey flavors, with it all not seeming to entirely meld.",Oriana,87,25.0,Washington,Yakima Valley,Columbia Valley,White Blend,Brian Carter Cellars,Sean P. Sullivan,@wawinereport,Brian Carter Cellars 2015 Oriana White (Yakima Valley)
127868,Spain,"Rusty in color and lacking fruit aromas on the nose, this is just good enough for a gran reserva. Leathery, roasted-plum flavors taste more like black olive than bright fruit. It's tannic and a bit dull on the finish.",Gran Reserva,87,22.0,Northern Spain,Rioja,,Tempranillo Blend,Castillo Clavijo,Michael Schachner,@wineschach,Castillo Clavijo 2008 Gran Reserva  (Rioja)
127869,US,"Merlot makes up three-quarters of this blend, with the balance Cabernet Sauvignon (21%) and Cabernet Franc. It starts out a bit reduced, providing some initial distraction from its aromas of plum, herb, asphalt and currant. The blue-fruit and smoke flavors show a sense of plushness, with savory notes lingering on the finish. The tannins bring some grip. It provides enjoyment but the Merlot doesn't really pop and the smoky notes seem out of place.",Merlot Blend,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Charles & Charles,Sean P. Sullivan,@wawinereport,Charles & Charles 2015 Merlot Blend Red (Columbia Valley (WA))
127870,US,"Minty, with a strong menthol character, this wine is high in acidity and overtly earthy. It offers a smoky after-note of leather and clove.",Sexton,87,60.0,California,Russian River Valley,Sonoma,Pinot Noir,Chasseur,Virginie Boone,@vboone,Chasseur 2014 Sexton Pinot Noir (Russian River Valley)
127871,France,This Jean-Pierre and Philippe Rivière label benefits from the ripeness of the vintage to bring out red plum and a rich structure. The acidity and tannins perfectly emphasize the generous fruitiness. Drink from 2018.,,87,15.0,Bordeaux,Bordeaux Supérieur,,Merlot,Château de Garros,Roger Voss,@vossroger,Château de Garros 2015  Bordeaux Supérieur
127872,France,"With a fine spicy character, the wine from this estate is richly endowed with blackberry fruits as well as a firmly tannic core. There is no wood aging but the fruit gives the wine an approachable character. Drink from 2018.",,87,16.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Haut Gaudin,Roger Voss,@vossroger,Château Haut Gaudin 2015  Bordeaux Supérieur
127873,France,"This is a perfumed juicy wine with attractive acidity and plenty of ripe berry fruits. It has light tannins, just enough to give the wine its shape and tannic edge. Drink from 2018.",,87,18.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Haut-La-Péreyre,Roger Voss,@vossroger,Château Haut-La-Péreyre 2015  Bordeaux Supérieur
127874,France,"This is a fine fruity wine with young tannins that will soon integrate. Ripe with berry flavors and with attractive acidity, it will develop quickly and should be ready by 2018.",Sainte Radegonde,87,30.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Jean Faux,Roger Voss,@vossroger,Château Jean Faux 2015 Sainte Radegonde  (Bordeaux Supérieur)
127875,France,"This is a concentrated wine with fine tannins and juicy black-plum fruits. It is densely textured, packed with great fruit and developing well. Drink from 2018.",,87,13.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château La Jalgue,Roger Voss,@vossroger,Château La Jalgue 2015  Bordeaux
127876,France,"The wine is packed with fruit: blackberry and damson flavors that are given a great lift by the acidity. It has a spicy side to it, adding complexity and filling out the tannins. Drink this wine from 2018.",,87,10.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Laubes,Roger Voss,@vossroger,Château Laubes 2015  Bordeaux
127877,France,The wine is structured while also juicy. Its red-berry fruits are in the process of coming together with the tannins to give a rich wine. It has plenty of acidity at the end to give a crisp aftertaste.,Cuvée Alix,87,20.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Panchille,Roger Voss,@vossroger,Château Panchille 2015 Cuvée Alix  (Bordeaux Supérieur)
127878,France,"This estate wine, originating from the vineyards that has been in the Queyrens family for more than 50 years, offers plenty of fruit here. The taste laces acidity and attractive black-currant flavors. There are tannins and a structure that will allow the wine to develop. Drink from 2018.",,87,15.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Pilet,Roger Voss,@vossroger,Château Pilet 2015  Bordeaux
127879,US,"A bit reserved on the nose at first, this stylishly labeled bottling offers aromas of bright red fruit, crushed graphite and light fennel. Flavors are a bit simple though completely pleasant, with sagebrush spicing up the darker cranberry fruit.",Lake Shore,87,26.0,California,Central Coast,Central Coast,Pinot Noir,City Winery Chicago,Matt Kettmann,@mattkettmann,City Winery Chicago 2015 Lake Shore Pinot Noir (Central Coast)
127880,US,"A blend of Merlot and Syrah, the aromas of smoke, matchstick, high-toned dried herb, spice and purple fruit give way to quite sweet-seeming dark-fruit flavors. Lightly grainy tannins provide support. The sweetness seems distracting.",,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Columbia Winery,Sean P. Sullivan,@wawinereport,Columbia Winery 2015 Red (Columbia Valley (WA))
127881,Spain,"Plum and cherry aromas carry a lemony oak note. This is fresh but rubbery, as you might expect from a young Monastrell-Petit Verdot blend. Plenty of black currant and plum fruit is supported by mild toasty bitterness on the finish.",,87,16.0,Levante,Valencia,,Monastrell-Petit Verdot,Con un Par,Michael Schachner,@wineschach,Con un Par 2016 Monastrell-Petit Verdot (Valencia)
127882,US,"This wine is smooth and refreshing, showing fresh raspberry and strawberry flavors and a texture that's mouthfilling but nicely crisp. It's quite fruity and light, especially considering the bold grape variety from which it is made.",Rosé of,87,24.0,California,Livermore Valley,Central Coast,Petite Sirah,Concannon,Jim Gordon,@gordone_cellars,Concannon 2016 Rosé of Petite Sirah (Livermore Valley)
127883,Spain,"Clean white-fruit aromas are simple but pleasant. This Viura has a round, plump body that's a touch flat. Salty citrus flavors come with notes of lime and green banana. A lasting finish is mild and tasty. Drink immediately.",Monopole,87,13.0,Northern Spain,Rioja,,Viura,CVNE,Michael Schachner,@wineschach,CVNE 2016 Monopole Viura (Rioja)
127884,US,"Intensely ripe and luscious aromas of black cherry and plum are shaded in anise and vanilla on the nose of this plush Cabernet Sauvignon. It's rich and round in mouthfeel with soft yielding acidity, but the boldly tannic finish lends structure.",,87,25.0,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Dr. Konstantin Frank,Anna Lee C. Iijima,,Dr. Konstantin Frank 2014 Cabernet Sauvignon (Finger Lakes)
127885,US,"Brawny and brooding, this rich wine shows a density of flavor and personality. Plum, strawberry and leathery black pepper form its core.",Reserve,87,20.0,California,Dry Creek Valley,Sonoma,Zinfandel,Frei Brothers,Virginie Boone,@vboone,Frei Brothers 2015 Reserve Zinfandel (Dry Creek Valley)
127886,US,"The aromas are light, with notes of toast, char, apple, lees and spice. The palate is on the lighter side of medium bodied with a lightly creamy feel. It's a straightforward easy drinker where the variety is unmistakable.",Newsprint,87,18.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Guardian,Sean P. Sullivan,@wawinereport,Guardian 2015 Newsprint Chardonnay (Columbia Valley (WA))
127887,US,"This wine is a blend of 59% Cabernet Sauvignon, 28% Merlot, 5% Cabernet Franc, 4% Malbec, 2% Petit Verdot and 2% Syrah. The aromas seem a bit off, with notes of dried cherry, oregano, anise and medicine cabinet. The palate has a pleasing sense of restraint and elegance, with gamy notes on the finish.",,87,30.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Hedges,Sean P. Sullivan,@wawinereport,Hedges 2013 Red (Red Mountain)
127888,US,"Robust in body and alcohol, this lavish Pinot Noir rosé offers juicy blackberry and cherry flavors. Dry in style with a rich, slightly dense texture, it suggests pairing with a full meal rather than enjoying as an apéritif.",Reserve Pinot Noir,87,35.0,New York,Finger Lakes,Finger Lakes,Rosé,Heron Hill,Anna Lee C. Iijima,,Heron Hill 2016 Reserve Pinot Noir Rosé (Finger Lakes)
127889,US,"On first whiff, smoky dusty mineral notes on this dry Riesling suggests more earth than fruit. The palate is surprisingly fruity, however, suggesting juicy yellow-peach and citrus flavors anchored against zesty lime acidity. The finish is brisk but refreshing.",Joy Dry,87,17.0,New York,Finger Lakes,Finger Lakes,Riesling,Inspire Moore,Anna Lee C. Iijima,,Inspire Moore 2016 Joy Dry Riesling (Finger Lakes)
127890,US,"A brilliant shade of purplish-pink, this bottling is quite light on the nose, with hints of hibiscus and raspberry. The flavors are crisp and easy, with tart strawberry, light nectarine and subtle cranberry juice.",Rose of,87,26.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Kessler-Haak,Matt Kettmann,@mattkettmann,Kessler-Haak 2016 Rose of Pinot Noir (Sta. Rita Hills)
127891,Italy,"Aromas of red berry, tobacco, coconut and espresso meld together with a balsamic note. The palate is young and aggressive, offering toast, oak-driven spice and a green note of powdered sage alongside grainy, astringent tannins. A note of salted game marks the close.",Bussia,87,76.0,Piedmont,Barolo,,Nebbiolo,La Bioca,Kerin O’Keefe,@kerinokeefe,La Bioca 2013 Bussia  (Barolo)
127892,France,"This is a wine on the cusp of being mature. The red-berry flavors are dissipating into a secondary aromatic character. The tannins, though, are still there—very firm and showing no sign of budging. Wait and see, or decant before drinking. This is part of a single-parcel (lieu-dit)single-varietal range.",Lieu-Dit Coudrat,87,40.0,Bordeaux,Blaye Côtes de Bordeaux,,Merlot,Les Vignerons de Tutiac,Roger Voss,@vossroger,Les Vignerons de Tutiac 2012 Lieu-Dit Coudrat  (Blaye Côtes de Bordeaux)
127893,US,"This wine is brooding in black and red currant, with dusty, well-integrated tannins and a curl of smoke. Big bodied, it finishes in a puckering way, hefty on the palate.",Reserve,89,85.0,California,Napa Valley,Napa,Cabernet Sauvignon,Ballentine,Virginie Boone,@vboone,Ballentine 2012 Reserve Cabernet Sauvignon (Napa Valley)
127894,Spain,"Lifted and floral up front, this Mencía smells like light, schist-infused plum and raspberry. There's mild grab to the palate, which offers flavors of buttery oak, rubber, strawberry and rose hip. A dry, slightly briny tasting finish fades away elegantly.",,89,21.0,Galicia,Ribeira Sacra,,Mencía,Peza do Rei,Michael Schachner,@wineschach,Peza do Rei 2012 Mencía (Ribeira Sacra)
127895,France,"A 100% Roussanne wine is rare in its normal origin, the Rhône Valley. Here, in the mountains, it has produced this intensely perfumed, tightly textured wine that is both unusual and delicious. Crisply textured and with spice and a dry edge, the wine could be aged for a few months. Drink from the end of 2016.",Les Cantates Chignin Bergeron,89,30.0,France Other,Vin de Savoie,,Roussanne,Philippe Viallet,Roger Voss,@vossroger,Philippe Viallet 2014 Les Cantates Chignin Bergeron Roussanne (Vin de Savoie)
127896,US,"This well-aged wine has a slightly earthy, new-leather aroma. Tasty, spicy flavors meet up with rich black cherry and cocoa chords to resonate through the finish. It's medium to full bodied, well balanced, moderately tannic and ready for the dinner table. The winemaker kept it in barrels for an unusual 43 months.",Sanguinetti Vineyard,89,25.0,California,Lodi,Central Valley,Syrah,Martin Lane Winery,Jim Gordon,@gordone_cellars,Martin Lane Winery 2010 Sanguinetti Vineyard Syrah (Lodi)
127897,Canada,"The nose suggests truffle around compact cherry fruit. The wine is nicely balanced, relatively high in acid, and fashioned for elegance more than power. A finishing whiff of chocolate adds interest.",Reimer Family Vineyards,89,40.0,British Columbia,Okanagan Valley,,Pinot Noir,Meyer Family Vineyards,Paul Gregutt,@paulgwine ,Meyer Family Vineyards 2013 Reimer Family Vineyards Pinot Noir (Okanagan Valley)
127898,US,"With significant amounts of Mourvèdre (15%) and Grenache (8%) blended in, this drinks more like a GSM than a Syrah. Cranberry, herb and woodspice aromas are followed by tart, sleek fruit and smoke flavors that linger.",,89,25.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,:Nota Bene,Sean P. Sullivan,@wawinereport,:Nota Bene 2012 Syrah (Columbia Valley (WA))
127899,Spain,"Saucy berry aromas are accompanied by notes of coffee, olive and forest floor. This has a drawing mouthfeel, while the palate collapses a bit on itself. Flavors of raspberry and cherry offer no small amount of vanilla and oak, while the finish is lively, long and oaky. Drink through 2022.",Castillo de Albai Reserva,89,20.0,Northern Spain,Rioja,,Tempranillo,Pagos del Rey,Michael Schachner,@wineschach,Pagos del Rey 2011 Castillo de Albai Reserva  (Rioja)
127900,Italy,"Charred earth, underbrush, cured meat and toasted hazelnut aromas lift out of the glass. The robust palate is almost overripe, offering dried black cherry, grilled sage, tobacco and a hint of game alongside tightly packed tannins that clench the finish. Drink 2019–2025.",,89,65.0,Tuscany,Brunello di Montalcino,,Sangiovese,Palazzo,Kerin O’Keefe,@kerinokeefe,Palazzo 2011  Brunello di Montalcino
127901,US,"A strong showing from the South Coast, this bottling offers plump red cherries, blackberries, dried plums, cocoa, shaved dark chocolate, kola nut and iron on the nose. The palate is laden with dark chocolate and cinnamon atop elderberry fruit, lifted with elderflower, lilacs and leathery tannins that drive into the finish.",Bella Vigna Vineyard,89,45.0,California,Temecula Valley,South Coast,Sangiovese,Palumbo Family Vineyards,Matt Kettmann,@mattkettmann,Palumbo Family Vineyards 2012 Bella Vigna Vineyard Sangiovese (Temecula Valley)
